subject,tag,file,lineno,LEC,DNC,NCT
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,96,1.0,,
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,130,1.0,,
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,131,1.0,,
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,134,1.0,,
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,252,1.0,,
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,253,1.0,,
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,263,1.0,,
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,117,1.0,,
AdvBox,6c77da7413d2735166353118d4547b4179695807,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,132,,2.0,1.0
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,58,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,73,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,90,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,91,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,92,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,92,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,93,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,96,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,130,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,131,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,134,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,252,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,253,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,263,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,117,1.0,,
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,132,,2.0,1.0
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,58,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,73,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,90,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,91,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,92,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,92,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,93,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,96,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,130,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,131,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,134,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,252,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,253,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,263,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,117,1.0,,
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,132,,2.0,1.0
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,58,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,73,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,90,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,91,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,92,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,92,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,93,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,96,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,130,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,131,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,134,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,252,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,253,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,263,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,117,1.0,,
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/lbfgs.py,132,,2.0,1.0
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,58,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,73,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,90,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,91,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/deepfool.py,92,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,92,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,93,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,96,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,130,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,131,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,134,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,252,1.0,,
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,../../projects/not_well_engineered_projects/AdvBox/advbox/attacks/gradient_method.py,253,1.0,,
