hash,msg,deletions,files,date,Path,Project_name
6ff19f87fac887658a20afb4c6826639af3cac12,Initial commit,0,1,2018-08-08 16:55:42+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
4ebba1c95375e4c6aa5c989e581f43bbec5c1f77,update readme,1,1,2018-08-08 17:28:19+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
b0ed6dfc69b9c3d6980fcba186cb88f9b97b955f,增加英文版readme,0,1,2018-08-08 17:29:41+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
8f0fe1bbb437f5f2b194e35f9d0fc94489c8187d,"代码迁移

百度安全实验室研发了AdvBox，它能够为研究者在PaddlePaddle平台上研究模型安全性提供极大的便利，免去重复造轮子的精力与时间消耗，可
以高效地使用最新的生成方法构造对抗样本数据集用于对抗样本的特征统计、攻击全新的AI应用，加固业务AI模型，为模型安全性研究和应用提供重要的支持。
之前AdvBox作为PaddlePaddle开源项目的一个模块，获得了广泛好评。这次因为项目发展的需要，特此作为独立项目开源。",0,20,2018-08-08 18:04:38+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,修改为中文版简介,101,1,2018-08-08 18:17:00+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
bbd7de2477b191abf28b8027bd5074e94a2ebba6,增加对抗样本基本原理的介绍,1,4,2018-08-08 18:25:10+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
8bdfd94c406c47cbb134e72e783ad4874d75c940,增加AdvBox特点,0,1,2018-08-08 18:38:18+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
60260355495714b4540cb394f2c4f477fb95bcec,增加Apache License 2.0许可文件,0,1,2018-08-08 21:08:21+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
2055c1da9cc830d6a0ca1ba175f63955bbd3dff3,增加许可内容,0,16,2018-08-09 11:02:11+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
619838e85d8ba8ba4e43b8f562579b1bb2a26daf,增加忽略文件的配置文件,0,1,2018-08-09 12:48:47+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
eb5ecf0a099e0e4d3b8a65a509dc6bffca031a7b,增加对tf和caffe的支持,1,1,2018-08-10 21:42:45+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
531ff959f99009e399cfa2bac68122fa753937d3,更新许可信息,224,17,2018-08-14 22:53:56+08:00,../../projects/not_well_engineered_projects/AdvBox,AdvBox
