hash,msg,deletions,files,date,Path,Project_name
353ae1a0900fc0bc4131e8598b1dd3cde734886c,initial commit,0,9,2019-05-16 14:44:02-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
69b00ed16111b2bcbf179ce0043508e84945730c,update readme,1,1,2019-05-16 14:45:22-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
109f4235610a2b7c6ccdf3a9a8409160557dd34b,update readme,7,1,2019-05-16 14:52:58-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
c7f4fc5fcf112d9c210eed472a9d02a268dd3191,add code of conduct,7,3,2019-05-16 15:23:34-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
ff27a4f7822f0b2fa9b818fa13d0641b812f5b56,readme changes,10,1,2019-05-16 15:28:08-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
d08f469669ce0668cefa6dcc23201e2c7e71d3ac,readme,18,1,2019-05-16 15:32:46-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
eca440876e7de1c15554aa23ac78c2c8d14ed35d,readme table,10,1,2019-05-16 15:37:13-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
ae42d4ac79b421b796f30c03730f5e6b302ce15b,readme linebreak,2,1,2019-05-16 15:38:43-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
10d8da31f6aa958e3b1b03c9363135e81d2bdf66,readme table,3,1,2019-05-16 15:39:49-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
02f5090046b4e77ff1b6b82a9f724d880af9c98e,table spacing,3,1,2019-05-16 15:41:15-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
20f9126a0905b96758f4c7b3bfd648776af3dc8c,center table,4,1,2019-05-16 15:42:45-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
fcfa2224c5ad280b4712a4c2af945908ccc0873e,bold,3,1,2019-05-16 15:44:25-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
adf801b0cada11d71b2b6e64c29136474542b76e,table,4,1,2019-05-16 15:54:43-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
1f2313d077094007c0743b0de508e5bb5c18fabf,readme table,38,1,2019-05-16 15:58:33-07:00,../../projects/not_well_engineered_projects/antialiased-cnns,antialiased-cnns
