hash,msg,deletions,files,date,Path,Project_name
d1a535107bc171d2e70bc28afdf7be0dd98a2d18,Initial commit,0,2,2017-12-06 17:36:01+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
6c9e297c015a10f229400bde665e041ef41813ab,chore : add cnn-svm model,0,1,2017-12-06 17:38:27+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
861310ddea334153717cceab8588e23c0442e519,"Merge pull request #1 from AFAgarap/chore-add-model

chore : add cnn-svm model",0,1,2017-12-06 20:12:22+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
1eb8bcb56e55eecb800b01dc4eaa401196497e9e,docs : add author name,1,1,2017-12-06 20:18:49+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
ee44a3e3ab1d23475258d14fcf1ff9b7e8204841,docs : add title and citation,2,1,2017-12-06 20:19:06+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
3863935092783f7af49c0df5a1db2cd27a6ed357,"Merge pull request #2 from AFAgarap/docs-cnn-svm

Docs cnn svm",3,2,2017-12-06 20:21:51+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
604c57c2f3dd795b6662022c2cf72b1d00ae9df2,chore : add requirements.txt,0,1,2017-12-07 22:08:22+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
18206c41c519310414e1e64863d71f9a8bca2629,chore : add bash setup,0,1,2017-12-07 22:08:33+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
585dfe99bb9b084db0bb1fde8776b2d56c4473f6,"Merge pull request #3 from AFAgarap/chore-setup-files

Chore setup files",0,2,2017-12-07 22:10:14+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
52c9ad1b7be160204c2e7b11269b8058c0c3dd54,chore : add cnn-softmax model,0,1,2017-12-08 12:15:16+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
4c55c5e7c2415be1165fa22513514373f27a4ce7,"Merge pull request #4 from AFAgarap/chore-add-model

chore : add cnn-softmax model",0,1,2017-12-08 12:16:58+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
c8f79ed06302a1171fef2628122e58c1f1b6e236,refactor : change variable names,117,2,2017-12-08 12:41:29+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
22e62904ae9b9f3adb259c142c2dc7fa2b4af818,"Merge pull request #5 from AFAgarap/refactor-revise-model

refactor : change variable names",117,2,2017-12-08 12:44:36+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
a1fb71765063dce074e6b020fda123fb834f9a90,refactor : follow new varnames,34,2,2017-12-08 22:19:52+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
76eb147d451c4ee18a1fe12a27da76d2bf00b917,"Merge pull request #6 from AFAgarap/refactor-revise-model

refactor : follow new varnames",34,2,2017-12-08 22:21:32+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
b07e5b6a6b0500cbb920ea7a72c9875228cd0d71,docs : add intro text,2,1,2017-12-08 23:35:51+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
fba2af9a333b4befd7e5574cb23ef7bafcbecbb4,"Merge pull request #7 from AFAgarap/docs-cnn-svm

docs : add intro text",2,1,2017-12-08 23:36:36+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
7690cd82672dd6940ae1301ecfaf89cbfb0e0fd3,chore : add model implementation,0,1,2017-12-09 12:01:32+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
fd8037e3cb3c01b275194be9506a529eb2d7f675,"Merge pull request #8 from AFAgarap/chore-implement-model

chore : add model implementation",0,1,2017-12-09 12:10:32+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
96f7df7a58d2046e66720b77175556ace0fd1db8,chore : implement both models,3,1,2017-12-09 12:21:27+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
a48362789cb69d2b34c4c1e38fb3e5c49de4294b,feat : add C argparam,0,1,2017-12-09 12:22:58+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
b8c0caa11b9053cbf228a66116ad891fe5926a40,"Merge pull request #9 from AFAgarap/chore-implement-model

Chore implement model",3,1,2017-12-09 12:24:24+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
855b20420eec4c09b3fbb546d5e0af49fbe21761,feat : add tensorboard logging,4,2,2017-12-09 12:45:00+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
e85ff63927784ec040557ed2f5d3adc633d9e3ac,feat : add tf saving,4,2,2017-12-09 12:54:38+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
b70f82db797363c64be7eb409286a75c7c5301ef,"Merge pull request #10 from AFAgarap/feat-revise-model

Feat revise model",4,2,2017-12-09 12:55:53+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
e1e1f97102b45d2acd642e695b312cb78b36ed86,feat : follow method params,2,1,2017-12-09 13:17:45+08:00,../../projects/not_well_engineered_projects/cnn-svm,cnn-svm
