GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Project_name
AaronWard/covidify,Y,422,270,1666,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/AaronWard/covidify/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well-maintained documentation,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"Only project author respond to issues, as evidenced by https://github.com/AaronWard/covidify/issues/9 and https://github.com/AaronWard/covidify/issues/27.",https://github.com/AaronWard/covidify/blob/master/LICENSE is provided.,There are 2 files related to testing.,https://www.github.com/AaronWard/covidify.git
Adlik/Adlik,Y,107,150,6325,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Adlik/Adlik/graphs/contributors shows that there are multiple contributors.,The project uses Azure Pipeline for CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Adlik/Adlik/issues/136 and https://github.com/Adlik/Adlik/issues/108.",https://github.com/Adlik/Adlik/blob/master/LICENSE is provided.,There are many files related to testing.,https://www.github.com/Adlik/Adlik.git
