subject,tag,Number of Smells,Smell
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,1,LongTernaryConditionalExpression
AdvBox,23ef64032e9e8cc8242dbd4f07050f01f1fb1c4e,1,LongTernaryConditionalExpression
AdvBox,3e8330762e1f62a0a6f2ab047d6f51cc9b48178f,1,LongTernaryConditionalExpression
AdvBox,6582cd3d0689c3ba88432e2e7e57aefeee9a291e,1,LongTernaryConditionalExpression
AdvBox,6c77da7413d2735166353118d4547b4179695807,1,LongTernaryConditionalExpression
AdvBox,722382188ef73591be6d2baf4b96d471e9a38ccf,1,LongTernaryConditionalExpression
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,1,LongTernaryConditionalExpression
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,1,LongTernaryConditionalExpression
AdvBox,e30cae40bce507d17d5c43aa2bab541d4c4a6fd7,1,LongTernaryConditionalExpression
AdvBox,fbea05171358751ac6e3192d811a0678cda09f93,1,LongTernaryConditionalExpression
cnn-svm,133f91408c23ae6fef1a6670c4a56ea085f2cff4,1,LongTernaryConditionalExpression
cnn-svm,213011d71219d9dde435b99a35843749a526c5d5,1,LongTernaryConditionalExpression
cnn-svm,235ca3f108b5563f67306b3e869cc77f0756fac9,1,LongTernaryConditionalExpression
cnn-svm,424353918ec0d97fb8b3aefac820e907466cfd2e,1,LongTernaryConditionalExpression
cnn-svm,44de14bbb999827dfd2285c817773e95b46de4ce,1,LongTernaryConditionalExpression
cnn-svm,68e4e2ba034f0f215e40c9a8bc6fe82da987b040,1,LongTernaryConditionalExpression
cnn-svm,a601b3ec1102dde6fd431230e320042b7b8d715b,1,LongTernaryConditionalExpression
cnn-svm,c93dd90a2048e5fbf7b08eca63b72df4dc14bea9,1,LongTernaryConditionalExpression
cnn-svm,e78d92550f18d0e52daff2289c5705c3b97a3a1c,1,LongTernaryConditionalExpression
cnn-svm,e9a1687d89a44e130813e0766fe7db67b6643906,1,LongTernaryConditionalExpression
cnn-svm,ef8943a243c8bddc48c7f9f96b63b4fdda8b40eb,1,LongTernaryConditionalExpression
